name,per,calories,protein,fat,carbs,per_unit_grams,count_unit
# === FISH & SEAFOOD (魚介類) - Per 100g ===
きんぴらごぼう,100g,75,2.0,3.0,10.0,,
ゴボウのきんぴら,100g,75,2.0,3.0,10.0,,
ひじき煮,100g,61,2.0,0.5,12.0,,
ひじきの煮物,100g,61,2.0,0.5,12.0,,
筑前煮,100g,89,3.5,3.0,12.0,,
根菜の煮物,100g,89,3.5,3.0,12.0,,
肉じゃが,100g,111,6.0,3.0,15.0,,
にくじゃが,100g,111,6.0,3.0,15.0,,
卯の花,100g,96,7.0,4.0,8.0,,
おから煮,100g,96,7.0,4.0,8.0,,
ポテトサラダ,100g,111,2.0,7.0,10.0,,
ポテサラ,100g,111,2.0,7.0,10.0,,
マカロニサラダ,100g,132,3.0,8.0,12.0,,
マカサラ,100g,132,3.0,8.0,12.0,,
おひたし（ほうれん草）,100g,26,2.5,0.2,3.5,,
ほうれん草おひたし,100g,26,2.5,0.2,3.5,,
きゅうりの漬物,100g,12,1.0,0,2.0,,
浅漬け,100g,12,1.0,0,2.0,,
きゅうり漬,100g,12,1.0,0,2.0,,
たまご焼き,100g,79,6.5,5.0,2.0,,
玉子焼き,100g,79,6.5,5.0,2.0,,
だし巻き,100g,79,6.5,5.0,2.0,,
焼きそば,100g,173,7.0,5.0,25.0,,
ソース焼きそば,100g,173,7.0,5.0,25.0,,
ナスの揚げびたし,100g,67,1.5,5.0,4.0,,
揚げ浸し,100g,67,1.5,5.0,4.0,,
かぼちゃ煮,100g,37,1.0,0.1,8.0,,
かぼちゃの煮物,100g,37,1.0,0.1,8.0,,
春雨サラダ,100g,73,2.0,1.0,14.0,,
からしレンコン,100g,57,2.0,1.0,10.0,,
九州惣菜,100g,57,2.0,1.0,10.0,,
酢の物,100g,16,1.0,0,3.0,,
きゅうり・わかめ酢和え,100g,16,1.0,0,3.0,,
鶏つくね,100g,152,18.0,8.0,2.0,,
焼きつくね,100g,152,18.0,8.0,2.0,,
つくね,100g,152,18.0,8.0,2.0,,
揚げ出し豆腐,100g,111,8.0,7.0,4.0,,
焼き鳥（もも）,100g,158,17.0,10.0,0,,
焼き鳥もも,100g,158,17.0,10.0,0,,
揚げ餃子,100g,148,7.0,8.0,12.0,,
揚げギョーザ,100g,148,7.0,8.0,12.0,,
肉巻き野菜,100g,150,12.0,10.0,3.0,,
野菜の肉巻き,100g,150,12.0,10.0,3.0,,
焼き厚揚げ,100g,114,12.0,6.0,3.0,,
焼きあつあげ,100g,114,12.0,6.0,3.0,,
こんにゃく煮,100g,22,0.5,0,5.0,,
こんにゃく煮物,100g,22,0.5,0,5.0,,
鯖の塩焼き,100g,157,19.0,9.0,0,,
焼きサバ,100g,157,19.0,9.0,0,,
いわしの梅煮,100g,159,18.0,7.0,6.0,,
梅煮,100g,159,18.0,7.0,6.0,,
# === FRUITS (果物) - Per 100g ===
Apple,100g,59,0.3,0.2,14,,
りんご,100g,59,0.3,0.2,14,,
リンゴ,100g,59,0.3,0.2,14,,
Fuji,100g,59,0.3,0.2,14,,
Jonagold,100g,59,0.3,0.2,14,,
Banana,100g,99,1.1,0.3,23,,
バナナ,100g,99,1.1,0.3,23,,
ばなな,100g,99,1.1,0.3,23,,
Cavendish,100g,99,1.1,0.3,23,,
Orange,100g,52,0.9,0.1,12,,
みかん,100g,52,0.9,0.1,12,,
ミカン,100g,52,0.9,0.1,12,,
Satsuma,100g,52,0.9,0.1,12,,
Tangerine,100g,52,0.9,0.1,12,,
Persimmon,100g,76,0.6,0.2,18,,
柿,100g,76,0.6,0.2,18,,
かき,100g,76,0.6,0.2,18,,
カキ,100g,76,0.6,0.2,18,,
Fuyu,100g,76,0.6,0.2,18,,
Hachiya,100g,76,0.6,0.2,18,,
Grapes,100g,72,0.6,0.2,17,,
ぶどう,100g,72,0.6,0.2,17,,
ブドウ,100g,72,0.6,0.2,17,,
Kyoho,100g,72,0.6,0.2,17,,
Shine Muscat,100g,72,0.6,0.2,17,,
Peach,100g,43,0.5,0.1,10,,
桃,100g,43,0.5,0.1,10,,
もも,100g,43,0.5,0.1,10,,
モモ,100g,43,0.5,0.1,10,,
White Peach,100g,43,0.5,0.1,10,,
Fuyu momo,100g,43,0.5,0.1,10,,
Strawberry,100g,36,0.8,0.1,8,,
苺,100g,36,0.8,0.1,8,,
いちご,100g,36,0.8,0.1,8,,
イチゴ,100g,36,0.8,0.1,8,,
Amaou,100g,36,0.8,0.1,8,,
Tochiotome,100g,36,0.8,0.1,8,,
